ts,temperature_c,precipitation_mm,windspeed_kmh
2026-02-07 00:00:00,-14.8,0.0,29.5
2026-02-07 01:00:00,-17.5,0.0,27.3
2026-02-07 02:00:00,-18.5,0.0,18.6
2026-02-07 03:00:00,-19.0,0.0,19.3
2026-02-07 04:00:00,-20.0,0.0,19.9
2026-02-07 05:00:00,-20.4,0.0,19.1
2026-02-07 06:00:00,-20.8,0.0,14.8
2026-02-07 07:00:00,-21.4,0.0,12.8
2026-02-07 08:00:00,-21.5,0.0,8.9
2026-02-07 09:00:00,-19.0,0.0,11.0
2026-02-07 10:00:00,-18.1,0.0,16.6
2026-02-07 11:00:00,-17.0,0.0,16.4
2026-02-07 12:00:00,-15.9,0.0,19.0
2026-02-07 13:00:00,-15.3,0.0,18.4
2026-02-07 14:00:00,-14.6,0.0,20.0
2026-02-07 15:00:00,-14.1,0.0,20.1
2026-02-07 16:00:00,-14.4,0.0,16.9
2026-02-07 17:00:00,-15.2,0.0,15.1
2026-02-07 18:00:00,-17.3,0.0,8.7
2026-02-07 19:00:00,-18.3,0.0,8.7
2026-02-07 20:00:00,-18.1,0.0,5.1
2026-02-07 21:00:00,-17.5,0.0,9.7
2026-02-07 22:00:00,-18.8,0.0,7.9
2026-02-07 23:00:00,-19.5,0.0,6.4
2026-02-08 00:00:00,-19.6,0.0,9.3
2026-02-08 01:00:00,-19.3,0.0,10.0
2026-02-08 02:00:00,-21.5,0.0,7.8
2026-02-08 03:00:00,-20.4,0.0,9.7
2026-02-08 04:00:00,-20.7,0.0,11.7
2026-02-08 05:00:00,-20.9,0.0,11.2
2026-02-08 06:00:00,-21.0,0.0,10.2
2026-02-08 07:00:00,-22.4,0.0,12.3
2026-02-08 08:00:00,-22.4,0.0,11.9
2026-02-08 09:00:00,-19.5,0.0,14.4
2026-02-08 10:00:00,-18.7,0.0,15.0
2026-02-08 11:00:00,-17.3,0.0,10.8
2026-02-08 12:00:00,-15.9,0.0,9.2
2026-02-08 13:00:00,-14.8,0.0,9.6
2026-02-08 14:00:00,-14.0,0.0,8.6
2026-02-08 15:00:00,-13.1,0.0,6.8
2026-02-08 16:00:00,-12.4,0.0,7.4
2026-02-08 17:00:00,-13.2,0.0,6.9
2026-02-08 18:00:00,-15.2,0.0,3.3
